elements;B;I;S
100;13158;2434;5247
350;188496;32232;62122
600;547356;92632;181497
850;1079028;181841;363372
1100;1764900;296758;607747
1350;2691714;451809;914622
1600;3848454;645177;1283997
1850;5069562;849292;1715872
2100;6578844;1101430;2210247
2350;8289366;1387105;2767122
2600;10070052;1684487;3386497
2850;12104082;2024078;4068372
3100;14484360;2421373;4812747
3350;16816260;2810627;5619622
3600;19596492;3274587;6488997
3850;22269552;3720626;7420872
4100;25226472;4214042;8415247
4350;28380102;4740230;9472122
4600;31701828;5294444;10591497
4850;35195610;5877330;11773372
5100;38982966;6509137;13017747
5350;43125102;7200074;14324622
5600;47094690;7862301;15693997
5850;51560718;8607224;17125872
6100;55978266;9344070;18620247
6350;60871428;10160177;20177122
6600;65037198;10855009;21796497
6850;69865224;11660278;23478372
7100;75170616;12545090;25222747
7350;80614668;13453023;27029622
7600;86969178;14512649;28898997
7850;92767212;15479569;30830872
8100;98528568;16440351;32825247
8350;104291568;17401447;34882122
8600;109911552;18338820;37001497
8850;116163126;19381334;39183372
9100;124947552;20845860;41427747
9350;131829870;21993494;43734622
9600;138455130;23098483;46103997
9850;145918674;24342991;48535872
