elements;B;I;S
100;6579;2335;297
350;94248;31883;1047
600;273678;92033;1797
850;539514;180992;2547
1100;882450;295659;3297
1350;1345857;450460;4047
1600;1924227;643578;4797
1850;2534781;847443;5547
2100;3289422;1099331;6297
2350;4144683;1384756;7047
2600;5035026;1681888;7797
2850;6052041;2021229;8547
3100;7242180;2418274;9297
3350;8408130;2807278;10047
3600;9798246;3270988;10797
3850;11134776;3716777;11547
4100;12613236;4209943;12297
4350;14190051;4735881;13047
4600;15850914;5289845;13797
4850;17597805;5872481;14547
5100;19491483;6504038;15297
5350;21562551;7194725;16047
5600;23547345;7856702;16797
5850;25780359;8601375;17547
6100;27989133;9337971;18297
6350;30435714;10153828;19047
6600;32518599;10848410;19797
6850;34932612;11653429;20547
7100;37585308;12537991;21297
7350;40307334;13445674;22047
7600;43484589;14505050;22797
7850;46383606;15471720;23547
8100;49264284;16432252;24297
8350;52145784;17393098;25047
8600;54955776;18330221;25797
8850;58081563;19372485;26547
9100;62473776;20836761;27297
9350;65914935;21984145;28047
9600;69227565;23088884;28797
9850;72959337;24333142;29547
