elements;B;I;S
100;8118;99;4950
350;117962;349;61075
600;357004;599;179700
850;709764;849;360825
1100;1189118;1099;604450
1350;1737512;1349;910575
1600;2476851;1599;1279200
1850;3232052;1849;1710325
2100;4281960;2099;2203950
2350;5346324;2349;2760075
2600;6541683;2599;3378700
2850;7914522;2849;4059825
3100;9290802;3099;4803450
3350;11024908;3349;5609575
3600;12805242;3599;6478200
3850;14745519;3849;7409325
4100;16592752;4099;8402950
4350;18761586;4349;9459075
4600;20750688;4599;10577700
4850;23430368;4849;11758825
5100;25596980;5099;13002450
5350;28392492;5349;14308575
5600;30962470;5599;15677200
5850;33251565;5849;17108325
6100;35923110;6099;18601950
6350;39560619;6349;20158075
6600;42867104;6599;21776700
6850;46806066;6849;23457825
7100;49998257;7099;25201450
7350;52413068;7349;27007575
7600;56369382;7599;28876200
7850;60900391;7849;30807325
8100;64646218;8099;32800950
8350;69062928;8349;34857075
8600;73289277;8599;36975700
8850;76605793;8849;39156825
9100;81790911;9099;41400450
9350;86908304;9349;43706575
9600;90480174;9599;46075200
9850;96530049;9849;48506325
