elements;B;I;S
100;99;297;5247
300;299;897;45747
500;499;1497;126247
700;699;2097;246747
900;899;2697;407247
1100;1099;3297;607747
1300;1299;3897;848247
1500;1499;4497;1128747
1700;1699;5097;1449247
1900;1899;5697;1809747
2100;2099;6297;2210247
2300;2299;6897;2650747
2500;2499;7497;3131247
2700;2699;8097;3651747
2900;2899;8697;4212247
3100;3099;9297;4812747
3300;3299;9897;5453247
3500;3499;10497;6133747
3700;3699;11097;6854247
3900;3899;11697;7614747
4100;4099;12297;8415247
4300;4299;12897;9255747
4500;4499;13497;10136247
4700;4699;14097;11056747
4900;4899;14697;12017247
5100;5099;15297;13017747
5300;5299;15897;14058247
5500;5499;16497;15138747
5700;5699;17097;16259247
5900;5899;17697;17419747
6100;6099;18297;18620247
6300;6299;18897;19860747
6500;6499;19497;21141247
6700;6699;20097;22461747
6900;6899;20697;23822247
7100;7099;21297;25222747
7300;7299;21897;26663247
7500;7499;22497;28143747
7700;7699;23097;29664247
7900;7899;23697;31224747
8100;8099;24297;32825247
8300;8299;24897;34465747
8500;8499;25497;36146247
8700;8699;26097;37866747
8900;8899;26697;39627247
9100;9099;27297;41427747
9300;9299;27897;43268247
9500;9499;28497;45148747
9700;9699;29097;47069247
9900;9899;29697;49029747
