elements;B;I;S
100;29700;5148;5247
350;366450;61773;62122
600;1078200;180898;181497
850;2164950;362523;363372
1100;3626700;606648;607747
1350;5463450;913273;914622
1600;7675200;1282398;1283997
1850;10261950;1714023;1715872
2100;13223700;2208148;2210247
2350;16560450;2764773;2767122
2600;20272200;3383898;3386497
2850;24358950;4065523;4068372
3100;28820700;4809648;4812747
3350;33657450;5616273;5619622
3600;38869200;6485398;6488997
3850;44455950;7417023;7420872
4100;50417700;8411148;8415247
4350;56754450;9467773;9472122
4600;63466200;10586898;10591497
4850;70552950;11768523;11773372
5100;78014700;13012648;13017747
5350;85851450;14319273;14324622
5600;94063200;15688398;15693997
5850;102649950;17120023;17125872
6100;111611700;18614148;18620247
6350;120948450;20170773;20177122
6600;130660200;21789898;21796497
6850;140746950;23471523;23478372
7100;151208700;25215648;25222747
7350;162045450;27022273;27029622
7600;173257200;28891398;28898997
7850;184843950;30823023;30830872
8100;196805700;32817148;32825247
8350;209142450;34873773;34882122
8600;221854200;36992898;37001497
8850;234940950;39174523;39183372
9100;248402700;41418648;41427747
9350;262239450;43725273;43734622
9600;276451200;46094398;46103997
9850;291037950;48526023;48535872
