elements;B;I;S
100;14850;5049;297
350;183225;61424;1047
600;539100;180299;1797
850;1082475;361674;2547
1100;1813350;605549;3297
1350;2731725;911924;4047
1600;3837600;1280799;4797
1850;5130975;1712174;5547
2100;6611850;2206049;6297
2350;8280225;2762424;7047
2600;10136100;3381299;7797
2850;12179475;4062674;8547
3100;14410350;4806549;9297
3350;16828725;5612924;10047
3600;19434600;6481799;10797
3850;22227975;7413174;11547
4100;25208850;8407049;12297
4350;28377225;9463424;13047
4600;31733100;10582299;13797
4850;35276475;11763674;14547
5100;39007350;13007549;15297
5350;42925725;14313924;16047
5600;47031600;15682799;16797
5850;51324975;17114174;17547
6100;55805850;18608049;18297
6350;60474225;20164424;19047
6600;65330100;21783299;19797
6850;70373475;23464674;20547
7100;75604350;25208549;21297
7350;81022725;27014924;22047
7600;86628600;28883799;22797
7850;92421975;30815174;23547
8100;98402850;32809049;24297
8350;104571225;34865424;25047
8600;110927100;36984299;25797
8850;117470475;39165674;26547
9100;124201350;41409549;27297
9350;131119725;43715924;28047
9600;138225600;46084799;28797
9850;145518975;48516174;29547
